compania;fecha;usucrea;entidad;contrato;nocontrato;ambito;pabellon;cup
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:10;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:11;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:12;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;06/11/2013 15:12;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:14;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:14;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;09/05/2014 14:34;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:35;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:35;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:35;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:47;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:47;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;08/05/2014 15:29;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:47;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;08/05/2014 15:30;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:46;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;15/05/2014 11:15;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:09;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;15/05/2014 11:15;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;15/05/2014 11:15;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;15/05/2014 11:16;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;15/05/2014 11:16;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;15/05/2014 11:16;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;UCA JUAN CIUDAD;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:06;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:07;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:07;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:07;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:07;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:08;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:08;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.-S.;17001-15429;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;06/11/2013 16:36;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;06/11/2013 16:36;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;UCA JUAN CIUDAD;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:37;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:38;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:38;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 16:38;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;06/11/2013 17:35;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;06/11/2013 17:35;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;UCA JUAN CIUDAD;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 17:35;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 17:36;PATRICIA PINEDA (Contratacion Salud);800106339-1;COLMEDICA MEDICINA PREPAGADA.;50945;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;06/11/2013 15:46;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;08/05/2014 15:45;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;06/11/2013 15:46;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:46;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;08/05/2014 15:45;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;08/05/2014 15:31;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;08/05/2014 15:31;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;UCA JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;08/05/2014 15:31;PATRICIA PINEDA (Contratacion Salud);899999026-0;CAPRECOM INPEC.;1;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;09/05/2014 14:37;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:37;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;UCA JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 14:36;PATRICIA PINEDA (Contratacion Salud);899999026-0;CONTRATO CAPRECOM EPS.;CR 17-094-2013;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;15/05/2014 11:16;PATRICIA PINEDA (Contratacion Salud);900156264-2;NUEVA EPS S.A.;890801495;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;09/05/2014 16:52;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS.;17001-15429;Hospitalizacion;UCA JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;09/05/2014 16:57;PATRICIA PINEDA (Contratacion Salud);830074184-5;SALUD VIDA EPS-S - SUBSIDIADO.;17001-18749;Hospitalizacion;UCA;S12740
