Cargo;Asistencial;Compania;Tratante;VistoBuenoJefe;VistoBuenoAuxiliar;Interpretar;AsigRutaImg;AutorizaEgr;VistoBuenoFarmacia
GESTOR DE AMBIENTE FISICO;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR DE AREA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR DE CALIDAD;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR DE FARMACIA;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;1
GESTOR DE SISTEMAS;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR DE TALENTO HUMANO;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR FINANCIERO;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR TRABAJO SOCIAL;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
HERMANO AUXILIAR;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
HERMANO HOSPITALARIO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
INTERNO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
JEFE DE ENFERMERIA;1;CLINICA SAN JUAN DE DIOS;0;1;0;0;0;0;0
MEDICO GENERAL;1;CLINICA SAN JUAN DE DIOS;0;0;0;1;1;1;0
MEDICO GENERAL DE URGENCIAS;1;CLINICA SAN JUAN DE DIOS;0;0;0;1;0;0;0
MEDICO SEXOLOGO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
NEUROPSICOLOGA;1;CLINICA SAN JUAN DE DIOS;1;0;0;0;0;0;0
NUTRICIONISTA;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
ODONTOLOGIA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
PACIENTE SEGURO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
PEDAGOGO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
PORTERIA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
PRACTICANTE PSICOLOGIA;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
PROFESIONAL DE CARTERA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
PSICOLOGO;1;CLINICA SAN JUAN DE DIOS;1;0;0;0;0;0;0
PSIQUIATRA;1;CLINICA SAN JUAN DE DIOS;1;0;0;1;1;1;0
QUIMICO FARMACEUTICO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
RESIDENTE;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
REVISOR;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
ROPERIA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
SECRETARIA GENERAL;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
SERVICIOS GENERALES;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
SIAU;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
TERAPEUTA OCUPACIONAL;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
TESORERO;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
TRABAJO SOCIAL;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
