Codigo ; Nombre ;  Saldo Inicial ; Debitos ; Creditos ; Saldo Corriente ; Saldo NO Corriente
180530 ; ELEMENTOS MUSICALES ; 1309000;0;0;0;1309000
189505 ; BIENES ENTREGADOS EN COMODATO ; 1913730863;0;0;0;1913730863
189515 ; AMORTIZACION ACUMULADA DE BIENES ENTREGADOS EN COMODATO (CR) ; 427711606;0;12205497;0;439917103
189525 ; SEMOVIENTES ; 0;0;0;0;0
191004 ; TERRENOS ; 9498131075;0;0;0;9498131075
191016 ; CONSTRUCCIONES Y EDIFICACIONES ; 7173527783;0;0;0;7173527783
199595 ; DIVERSOS ; 0;0;0;0;0
210505 ; 210505 ; 0;0;0;0;0
210525 ; TARJETAS DE Credito ; 0;0;0;0;0
220505 ; NACIONALES ; 91007591;195207142;207685200;0;103485649
231505 ; A COMPAÑIAS VINCULADAS ; 0;0;0;0;0
233510 ; GASTOS LEGALES ; 189160;2541550;2517400;0;165010
233515 ; LIBROS- SUSCRIPCIONES- PERIODICOS Y REVISTAS ; 0;88000;413000;0;325000
233525 ; HONORARIOS ; 14183523;21108353;24220373;0;17295543
233530 ; SERVICIOS ; 29351983;179887539;232278891;0;81743335
233535 ; ARRENDAMIENTOS ; 0;299150;299150;0;0
233540 ; TRANSPORTES- FLETES Y ACARREOS ; 0;0;0;0;0
233545 ; SERVICIOS PUBLICOS ; 9471050;29461958;29690993;0;9700085
233550 ; SEGUROS ; 0;824158;1250958;0;426800
233555 ; GASTOS DE VIAJE ; 0;5540169;6511215;0;971046
233570 ; CONTRIBUCIONES Y AFILIACIONES ; 0;59279133;59280133;0;1000
233595 ; OTROS COSTOS Y GASTOS POR PAGAR ; 118967273;366511388;249362569;0;1818454
236505 ; SALARIOS Y PAGOS LABORALES ; 0;3396000;3396000;0;0
236515 ; HONORARIOS ; 0;4162800;4162800;0;0
236520 ; COMISIONES ; 0;0;0;0;0
236525 ; SERVICIOS ; 0;923617;923617;0;0
236530 ; ARRENDAMIENTOS ; 0;10850;10850;0;0
236540 ; COMPRAS ; 0;3945910;3945910;0;-0
236570 ; OTRAS RETENCIONES  ; 0;3303585;3303585;0;0
236595 ; OTROS ; 13304000;24270781;16350781;0;5384000
237005 ; APORTES ADMINISTRADORAS DE PENSIONES ; 21454491;64918684;64550358;0;21086165
237010 ; APORTES ENTIDADES PROMOTORAS DE SALUD ; 17282442;51672094;51283717;0;16894065
237015 ; APORTES ADMINISTRADORAS DE RIESGOS PROFESIONALES ; 2526335;7738983;7692148;0;2479500
237020 ; FONDO DE SOLIDARIDAD Y GARANTIA ; 646894;1806996;1670602;0;510500
237025 ; APORTES AL I.C.B.F.- SENA Y CAJAS DE COMPENSACION ; 11715703;36147117;35944096;0;11512682
237030 ; EMBARGOS JUDICIALES ; 163782;218059;716807;0;662530
237040 ; SINDICATOS ; 0;44152;66228;0;22076
237050 ; FONDOS DE EMPLEADOS ; 137939;36780119;54715053;0;18072873
237060 ; CUENTA DE AHORRO Y FOMENTO A LA CONSTRUCCION (AFC) ; 300000;2860000;3840000;0;1280000
238005 ; ACREEDORES VARIOS ; 632000;6216904;6174065;0;589161
241605 ; PREDIAL ; 0;0;0;0;0
243605 ; DE VEHICULOS ; 0;0;2483600;0;2483600
249505 ; OTROS IMPUESTOS- GRAVAMENES Y TASAS ; 27500000;30489289;2989289;0;0
250505 ; NOMINA POR PAGAR ; 397946;308859888;318099973;0;9638031
251010 ; LEY 50 DE 1990 Y NORMAS POSTERIORES  ; 125994965;125994965;0;0;0
251505 ; INTERES / CESANTIAS ; 14759362;14759362;0;0;0
252005 ; PRIMA DE SERVICIOS ; 0;0;0;0;0
252505 ; VACACIONES CONSOLIDADAS ; 40406917;17007225;0;0;23399692
253025 ; VACACIONES EXTRALEGALES ; 7362812;2257336;0;0;5105476
261010 ; CESANTIAS ; 0;1778343;34174620;0;32396277
261015 ; INTERESES SOBRE CESANTIAS ; 0;213486;4102687;0;3889201
261020 ; PRIMA DE SERVICIOS ; 0;1778343;34175340;0;32396997
261025 ; VACACIONES ; 0;739571;14492107;0;13752536
261030 ; PRESTACIONES EXTRALEGALES ; 0;1778343;38879140;0;37100797
280505 ; POR PRESTACION DE SERVICIOS DE SALUD ; 51588761;7835793;70044777;0;113797745
281505 ; VALORES RECIBIDOS PARA TERCEROS ; 411691293;2892312;2208200;0;411007182
314005 ; FONDO SOCIAL ; 3991956670;0;0;0;3991956670
340505 ; DE CAPITAL SOCIAL ; 1830285583;0;0;0;1830285583
340510 ; DE SUPERAVIT DE CAPITAL ; 308846730;0;0;0;308846730
340520 ; DE RESULTADOS DE EJERCICIOS ANTERIORES ; 926592929;0;0;0;926592929
360505 ; UTILIDAD O EXCEDENTE DEL EJERCICIO ; 708633136;708633136;0;0;-0
361005 ; PERDIDA O DEFICIT DEL EJERCICIO ; 0;0;0;0;0
370505 ; UTILIDADES O EXCEDENTES ACUMULADOS ; 1582295593;0;708633136;0;2290928729
371005 ; PERDIDAS O DEFICIT ACUMULADOS ; 207222431;0;0;0;207222431
381004 ; TERRENOS ; 10865317695;0;0;0;10865317695
381016 ; CONSTRUCCIONES Y EDIFICACIONES ; 5806341165;0;0;0;5806341165
389595 ; DIVERSOS ; 0;0;0;0;0
410505 ; CONSULTAS ; 0;0;2366000;0;2366000
410535 ; UNIDAD MOVIL ; 0;0;70500;0;70500
411005 ; CONSULTAS ; 0;0;41194842;0;41194842
411510 ; ESTANCIAS ; 0;0;1507056354;0;1507056354
411520 ; MATERIALES Y SUMINISTROS ; 0;0;37347478;0;37347478
412505 ; EXAMENES Y PROCEDIMIENTOS ; 0;0;7589201;0;7589201
417005 ; OTRAS ACTIVIDADES RELACIONADAS CON LA SALUD ; 0;0;54500640;0;54500640
417515 ; UNIDAD FUNCIONAL DE HOSPITALIZACION E INTERNACION ; 0;51467876;0;0;51467876
421005 ; INTERESES  ; 0;0;3851672;0;3851672
421030 ; DESCUENTOS COMERCIALES CONDICIONADOS  ; 0;0;12000;0;12000
425045 ; REINTEGRO DE OTROS COSTOS Y GASTOS ; 0;0;700889;0;700889
426505 ; INGRESOS DE EJERCICIOS ANTERIORES ; 0;0;2385961;0;2385961
429530 ; APROVECHAMIENTOS ; 0;0;30840367;0;30840367
429540 ; DONACIONES ; 0;0;654600;0;654600
429565 ; AJUSTE AL PESO ; 0;0;312;0;312
429595 ; OTROS  ; 0;1314347;7339337;0;6024989
510505 ; PERSONAL ; 0;254113562;1570900;0;252542662
510510 ; HONORARIOS ; 0;20638200;0;0;20638200
510515 ; IMPUESTOS TASAS Y GRAVAMENES ; 0;5472889;0;0;5472889
510525 ; CONTRIBUCIONES Y AFILIACIONES  ; 0;74748553;0;0;74748553
510530 ; SEGUROS  ; 0;13008073;0;0;13008073
510535 ; SERVICIOS  ; 0;85136252;0;0;85136252
510540 ; LEGALES  ; 0;3418230;0;0;3418230
510545 ; MANTENIMIENTO- REPARACIONES y ACCESORIOS ; 0;23746583;0;0;23746583
510555 ; GASTOS DE VIAJE  ; 0;2768793;0;0;2768793
510560 ; DEPRECIACIONES  ; 0;46470147;0;0;46470147
510565 ; AMORTIZACIONES  ; 0;8354663;0;0;8354663
510570 ; DIVERSOS  ; 0;36225735;0;0;36225735
510575 ; PROVISIONES  ; 0;60000000;0;0;60000000
530505 ; GASTOS Y COMISONES BANCARIAS ; 0;2917923;0;0;2917923
530515 ; INTERESES  ; 0;21600;0;0;21600
530545 ; GRAVAMEN MOVIMIENTO FINANCIERO ; 0;3161834;0;0;3161834
531510 ; IMPUESTOS ASUMIDOS ; 0;101783;0;0;101783
531595 ; DIVERSOS ; 0;243246;124998;0;118248
532005 ; GASTOS EXTRAORDINARIOS EJERCICIOS ANTERIORES ; 0;1734156;0;0;1734156
535025 ; DONACIONES ; 0;13960427;0;0;13960427
535035 ; AMORTIZACION DE BIENES ENTREGADOS EN COMODATO ; 0;12205497;0;0;12205497
535095 ; OTROS ; 0;2;0;0;2
610501 ; MATERIALES Y SUMINISTROS A PACIENTES ; 0;33368;0;0;33368
610505 ; GASTOS DE PERSONAL ; 0;49029985;0;0;49029985
610535 ; SERVICIOS ; 0;103017;0;0;103017
610545 ; MANTENIMIENTO- REPARACIONES Y ACCESORIOS ; 0;1380;0;0;1380
610560 ; DEPRECIACIONES ; 0;127732;0;0;127732
610570 ; DIVERSOS ; 0;188331;0;0;188331
611001 ; MATERIALES Y SUMINISTROS A PACIENTES ; 0;72249;0;0;72249
611005 ; DE PERSONAL ; 0;122965867;0;0;122965867
611035 ; SERVICIOS ; 0;671344;0;0;671344
611055 ; COSTOS DE VIAJE ; 0;485523;0;0;485523
611060 ; DEPRECIACIONES ; 0;1388360;0;0;1388360
611065 ; AMORTIZACIONES ; 0;422925;0;0;422925
611070 ; DIVERSOS ; 0;27183;0;0;27183
611501 ; MATERIALES Y SUMINISTROS A PACIENTES ; 0;140626257;0;0;140626257
611505 ; GASTOS DE PERSONAL ; 0;188865461;258426;0;188607035
611510 ; HONORARIOS ; 0;500010;0;0;500010
611520 ; ARRENDAMIENTOS ; 0;310000;0;0;310000
611535 ; SERVICIOS ; 0;114953437;0;0;114953437
611545 ; MANTENIMIENTO- REPARACIONES Y ACCESORIOS ; 0;4259254;0;0;4259254
611560 ; DEPRECIACIONES ; 0;52560734;0;0;52560734
611565 ; AMORTIZACIONES ; 0;1110180;0;0;1110180
611570 ; DIVERSOS ; 0;2363770;0;0;2363770
612535 ; SERVICIOS ; 0;24819516;0;0;24819516
613001 ; MATERIALES Y SUMINISTROS A PACIENTES ; 0;215790;0;0;215790
613005 ; GASTOS DE PERSONAL ; 0;38931975;284680;0;38647295
613035 ; SERVICIOS ; 0;2009521;0;0;2009521
613060 ; DEPRECIACIONES ; 0;4598951;0;0;4598951
613065 ; AMORTIZACIONES ; 0;158598;0;0;158598
613070 ; DIVERSOS ; 0;105186;0;0;105186
617001 ; MATERIALES Y SUMINISTROS A PACIENTES ; 0;243660;0;0;243660
617005 ; GASTOS DE PERSONAL ; 0;43523;0;0;43523
617010 ; HONORARIOS ; 0;1200000;0;0;1200000
617030 ; SEGUROS ; 0;68150;0;0;68150
617035 ; SERVICIOS ; 0;19006070;0;0;19006070
617040 ; LEGALES ; 0;32000;0;0;32000
617045 ; MANTENIMIENTO- REPARACIONES Y ACCESORIOS ; 0;1380;0;0;1380
617060 ; DEPRECIACIONES ; 0;10119448;0;0;10119448
617070 ; DIVERSOS ; 0;301371;0;0;301371
811525 ; EN COMODATO ; 1803589846;0;0;0;1803589846
819510 ; GLOSAS EN FIRME ; 0;0;0;0;0
820505 ; AJUSTES POR INFLACION ; 212605676;0;0;0;212605676
831516 ; 831516 ; 0;0;0;0;0
831520 ; 831520 ; 49662669;0;0;0;49662669
831524 ; 831524 ; 199004914;0;0;0;199004914
831528 ; 831528 ; 63180919;0;0;0;63180919
831532 ; 831532 ; 40332206;0;0;0;40332206
831536 ; 831536 ; 170318113;0;0;0;170318113
831556 ; 831556 ; 8116638;0;0;0;8116638
831599 ; 831599 ; 132027762;0;0;0;132027762
832505 ; 832505 ; 6500000;0;0;0;6500000
832510 ; 832510 ; 378366629;0;0;0;378366629
841525 ; EN COMODATO ; 1803589846;0;0;0;1803589846
849505 ; DEUDAS DE DIFICIL COBRO ; 0;0;0;0;0
849510 ; GLOSAS EN FIRME ; 0;0;0;0;0
850505 ; AJUSTES POR INFLACION ; 212605676;0;0;0;212605676
861520 ; MAQUINARIA Y EQUIPO ; 49662669;0;0;0;49662669
861524 ; EQUIPO DE OFICINA ; 199004914;0;0;0;199004914
861528 ; EQUIPO DE COMPUTACION Y COMUNICACION ; 63180919;0;0;0;63180919
861532 ; EQUIPO MEDICO-CIENTIFICO ; 40332206;0;0;0;40332206
861536 ; EQUIPO DE HOTELERIA Y RESTAURANTE ; 170318113;0;0;0;170318113
861556 ; ACUEDUCTOS PLANTAS Y REDES ; 8116638;0;0;0;8116638
861599 ; AJUSTES POR INFLACION ; 132027762;0;0;0;132027762
862505 ; INVERSIONES ; 6500000;0;0;0;6500000
862510 ; DEUDORES ; 378366629;0;0;0;378366629
919505 ; DEUDORAS DE DIFICIL COBRO ; 0;0;0;0;0
919510 ; GLOSAS EN FIRME ; 0;0;0;0;0
919599 ; 919599 ; 0;0;0;0;0
929505 ; AJUSTES POR INFLACION ; 136029819;0;0;0;136029819
949505 ; DEUDAS DE DIFICIL COBRO ; 0;0;0;0;0
949510 ; GLOSAS EN FIRME ; 0;0;0;0;0
959599 ; AJUSTES POR INFLACION ; 136029819;0;0;0;136029819
