comprobante;cruzarcon;movimiento;cuenta;cuentacruzar;compania;anio;varios
NOTAS CREDITO;FACTURACION;Haber;1307;Bancos;CLINICA SAN JUAN DE DIOS;2010;
EGRESO;NOMINA;Haber;2815;Bancos;CLINICA SAN JUAN DE DIOS;2010;
EGRESO;CUENTAS POR PAGAR;Haber;24;Bancos;CLINICA SAN JUAN DE DIOS;2010;
NOTAS CREDITO;FACTURACION;Haber;1301;1307;CLINICA SAN JUAN DE DIOS;2010;
EGRESO;CUENTAS POR PAGAR;Haber;2105;Bancos;CLINICA SAN JUAN DE DIOS;2010;
EGRESO;NOMINA;Haber;25;Bancos;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;CUENTAS POR PAGAR;Haber;23;Bancos;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;PRIMA;Haber;2610;Bancos;CLINICA SAN JUAN DE DIOS;2009;
NOTAS CREDITO;INGRESOS;Haber;4210;1110;CLINICA SAN JUAN DE DIOS;2009;
NOTAS CREDITO;INGRESOS;Haber;4250;1110;CLINICA SAN JUAN DE DIOS;2009;
NOTAS CREDITO;FACTURACION;Debe;2805;1310;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;NOMINA;Haber;2370;Bancos;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;CUENTAS POR PAGAR;Haber;22;Bancos;CLINICA SAN JUAN DE DIOS;2009;
NOTAS CREDITO;FACTURACION;Haber;1307;Bancos;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;NOMINA;Haber;2815;Bancos;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;CUENTAS POR PAGAR;Haber;24;Bancos;CLINICA SAN JUAN DE DIOS;2009;
NOTAS CREDITO;FACTURACION;Haber;1301;1307;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;CUENTAS POR PAGAR;Haber;2105;Bancos;CLINICA SAN JUAN DE DIOS;2009;
EGRESO;NOMINA;Haber;25;Bancos;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;CUENTAS POR PAGAR;Haber;23;Bancos;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;PRIMA;Haber;2610;Bancos;CLINICA SAN JUAN DE DIOS;2008;
NOTAS CREDITO;INGRESOS;Haber;4210;1110;CLINICA SAN JUAN DE DIOS;2008;
NOTAS CREDITO;INGRESOS;Haber;4250;1110;CLINICA SAN JUAN DE DIOS;2008;
NOTAS CREDITO;FACTURACION;Debe;2805;1310;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;NOMINA;Haber;2370;Bancos;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;CUENTAS POR PAGAR;Haber;22;Bancos;CLINICA SAN JUAN DE DIOS;2008;
NOTAS CREDITO;FACTURACION;Haber;1307;Bancos;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;NOMINA;Haber;2815;Bancos;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;CUENTAS POR PAGAR;Haber;24;Bancos;CLINICA SAN JUAN DE DIOS;2008;
NOTAS CREDITO;FACTURACION;Haber;1301;1307;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;CUENTAS POR PAGAR;Haber;2105;Bancos;CLINICA SAN JUAN DE DIOS;2008;
EGRESO;NOMINA;Haber;25;Bancos;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;CUENTAS POR PAGAR;Haber;23;Bancos;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;PRIMA;Haber;2610;Bancos;CLINICA SAN JUAN DE DIOS;2007;
NOTAS CREDITO;INGRESOS;Haber;4210;1110;CLINICA SAN JUAN DE DIOS;2007;
NOTAS CREDITO;INGRESOS;Haber;4250;1110;CLINICA SAN JUAN DE DIOS;2007;
NOTAS CREDITO;FACTURACION;Debe;2805;1310;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;NOMINA;Haber;2370;Bancos;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;CUENTAS POR PAGAR;Haber;22;Bancos;CLINICA SAN JUAN DE DIOS;2007;
NOTAS CREDITO;FACTURACION;Haber;1307;Bancos;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;NOMINA;Haber;2815;Bancos;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;CUENTAS POR PAGAR;Haber;24;Bancos;CLINICA SAN JUAN DE DIOS;2007;
NOTAS CREDITO;FACTURACION;Haber;1301;1307;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;CUENTAS POR PAGAR;Haber;2105;Bancos;CLINICA SAN JUAN DE DIOS;2007;
EGRESO;NOMINA;Haber;25;Bancos;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;CUENTAS POR PAGAR;Haber;23;Bancos;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;PRIMA;Haber;2610;Bancos;CLINICA SAN JUAN DE DIOS;2006;
NOTAS CREDITO;INGRESOS;Haber;4210;1110;CLINICA SAN JUAN DE DIOS;2006;
NOTAS CREDITO;INGRESOS;Haber;4250;1110;CLINICA SAN JUAN DE DIOS;2006;
NOTAS CREDITO;FACTURACION;Debe;2805;1310;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;NOMINA;Haber;2370;Bancos;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;CUENTAS POR PAGAR;Haber;22;Bancos;CLINICA SAN JUAN DE DIOS;2006;
NOTAS CREDITO;FACTURACION;Haber;1307;Bancos;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;NOMINA;Haber;2815;Bancos;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;CUENTAS POR PAGAR;Haber;24;Bancos;CLINICA SAN JUAN DE DIOS;2006;
NOTAS CREDITO;FACTURACION;Haber;1301;1307;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;CUENTAS POR PAGAR;Haber;2105;Bancos;CLINICA SAN JUAN DE DIOS;2006;
EGRESO;NOMINA;Haber;25;Bancos;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;CUENTAS POR PAGAR;Haber;23;Bancos;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;PRIMA;Haber;2610;Bancos;CLINICA SAN JUAN DE DIOS;2005;
NOTAS CREDITO;INGRESOS;Haber;4210;1110;CLINICA SAN JUAN DE DIOS;2005;
NOTAS CREDITO;INGRESOS;Haber;4250;1110;CLINICA SAN JUAN DE DIOS;2005;
NOTAS CREDITO;FACTURACION;Debe;2805;1310;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;NOMINA;Haber;2370;Bancos;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;CUENTAS POR PAGAR;Haber;22;Bancos;CLINICA SAN JUAN DE DIOS;2005;
NOTAS CREDITO;FACTURACION;Haber;1307;Bancos;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;NOMINA;Haber;2815;Bancos;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;CUENTAS POR PAGAR;Haber;24;Bancos;CLINICA SAN JUAN DE DIOS;2005;
NOTAS CREDITO;FACTURACION;Haber;1301;1307;CLINICA SAN JUAN DE DIOS;2005;
EGRESO;CUENTAS POR PAGAR;Haber;2105;Bancos;CLINICA SAN JUAN DE DIOS;2005;
