"municipio";"departamento";"codmpo"
"SAN MARCOS";"70";"708"
"SAN ONOFRE";"70";"713"
"SAN PEDRO";"70";"717"
"SINCE";"70";"742"
"SUCRE";"70";"771"
"TOLU";"70";"820"
"TOLUVIEJO";"70";"823"
"IBAGUE";"73";"001"
"ALPUJARRA";"73";"024"
"PANQUEBA";"15";"522"
"PAUNA";"15";"531"
"PAYA";"15";"533"
"PAZ DE RIO";"15";"537"
"PESCA";"15";"542"
"PISVA";"15";"550"
"PUERTO BOYACA";"15";"572"
"QUIPAMA";"15";"580"
"RAMIRIQUI";"15";"599"
"RAQUIRA";"15";"600"
"RONDON";"15";"621"
"SABOYA";"15";"632"
"SACHICA";"15";"638"
"SAMACA";"15";"646"
"SAN EDUARDO";"15";"660"
"SAN JOSE DE PARE";"15";"664"
"SAN LUIS DE GACENO";"15";"667"
"SAN MATEO";"15";"673"
"SAN MIGUEL DE SEMA";"15";"676"
"SAN PABLO DE BORBUR";"15";"681"
"SANTANA";"15";"686"
"SANTA MARIA";"15";"690"
"SAN CARLOS";"23";"678"
"SAN PELAYO";"23";"686"
"TIERRALTA";"23";"807"
"VALENCIA";"23";"855"
"AGUA DE DIOS";"25";"001"
"ALBAN";"25";"019"
"ANAPOIMA";"25";"035"
"ANOLAIMA";"25";"040"
"ARBELAEZ";"25";"053"
"BELTRAN";"25";"086"
"BITUIMA";"25";"095"
"BOJACA";"25";"099"
"CABRERA";"25";"120"
"CACHIPAY";"25";"123"
"CAJICA";"25";"126"
"CAPARRAPI";"25";"148"
"CAQUEZA";"25";"151"
"CARMEN DE CARUPA";"25";"154"
"CHAGUANI";"25";"168"
"CHIA";"25";"175"
"CHIPAQUE";"25";"178"
"CHOACHI";"25";"181"
"CHOCONTA";"25";"183"
"COGUA";"25";"200"
"COTA";"25";"214"
"CUCUNUBA";"25";"224"
"EL COLEGIO";"25";"245"
"EL PEÑON";"25";"258"
"FACATATIVA";"25";"269"
"HATILLO DE LOBA";"13";"300"
"MAGANGUE";"13";"430"
"MAHATES";"13";"433"
"MARGARITA";"13";"440"
"MARIA LA BAJA";"13";"442"
"MONTECRISTO";"13";"458"
"MOMPOS";"13";"468"
"MORALES";"13";"473"
"PINILLOS";"13";"549"
"REGIDOR";"13";"580"
"RIO VIEJO";"13";"600"
"SAN CRISTOBAL";"13";"620"
"SAN ESTANISLAO";"13";"647"
"SAN FERNANDO";"13";"650"
"SAN JACINTO";"13";"654"
"SAN JUAN NEPOMUCENO";"13";"657"
"SAN MARTIN DE LOBA";"13";"667"
"SAN PABLO";"13";"670"
"SANTA CATALINA";"13";"673"
"SANTA ROSA";"13";"683"
"SANTA ROSA DEL SUR";"13";"688"
"SIMITI";"13";"744"
"SOPLAVIENTO";"13";"760"
"TALAIGUA NUEVO";"13";"780"
"TIQUISIO";"13";"810"
"TURBACO";"13";"836"
"TURBANA";"13";"838"
"VILLANUEVA";"13";"873"
"ZAMBRANO";"13";"894"
"TUNJA";"15";"001"
"ALMEIDA";"15";"022"
"AQUITANIA";"15";"047"
"ARCABUCO";"15";"051"
"BELEN";"15";"087"
"BERBEO";"15";"090"
"BETEITIVA";"15";"092"
"BOAVITA";"15";"097"
"BOYACA";"15";"104"
"BRICENO";"15";"106"
"BUENAVISTA";"15";"109"
"BUSBANZA";"15";"114"
"CALDAS";"15";"131"
"CAMPOHERMOSO";"15";"135"
"CERINZA";"15";"162"
"HATO COROZAL";"85";"125"
"LA SALINA";"85";"136"
"MANI";"85";"139"
"MONTERREY";"85";"162"
"NUNCHIA";"85";"225"
"OROCUE";"85";"230"
"PAZ DE ARIPORO";"85";"250"
"PORE";"85";"263"
"RECETOR";"85";"279"
"SABANALARGA";"85";"300"
"SACAMA";"85";"315"
"SAN LUIS DE PALENQUE";"85";"325"
"TAMARA";"85";"400"
"TAURAMENA";"85";"410"
"CUCAITA";"15";"224"
"CUITIVA";"15";"226"
"CHIQUIZA";"15";"232"
"CHIVOR";"15";"236"
"DUITAMA";"15";"238"
"EL COCUY";"15";"244"
"EL ESPINO";"15";"248"
"FIRAVITOBA";"15";"272"
"FLORESTA";"15";"276"
"GACHANTIVA";"15";"293"
"GAMEZA";"15";"296"
"GARAGOA";"15";"299"
"GUACAMAYAS";"15";"317"
"GUATEQUE";"15";"322"
"GUAYATA";"15";"325"
"GUICAN";"15";"332"
"IZA";"15";"362"
"JENESANO";"15";"367"
"JERICO";"15";"368"
"LABRANZAGRANDE";"15";"377"
"LA CAPILLA";"15";"380"
"LA VICTORIA";"15";"401"
"LA UVITA";"15";"403"
"VILLA DE LEYVA";"15";"407"
"MACANAL";"15";"425"
"MARIPI";"15";"442"
"MIRAFLORES";"15";"455"
"MONGUA";"15";"464"
"MONIQUIRA";"15";"469"
"MOTAVITA";"15";"476"
"MUZO";"15";"480"
"NOBSA";"15";"491"
"NUEVO COLON";"15";"494"
"OICATA";"15";"500"
"OTANCHE";"15";"507"
"PACHAVITA";"15";"511"
"PAEZ";"15";"514"
"CHINAVITA";"15";"172"
"CHIQUINQUIRA";"15";"176"
"CHISCAS";"15";"180"
"CHITA";"15";"183"
"CHITARAQUE";"15";"185"
"CHIVATA";"15";"187"
"CIENEGA";"15";"189"
"COMBITA";"15";"204"
"COPER";"15";"212"
"CORRALES";"15";"215"
"COVARACHIA";"15";"218"
"CUBARA";"15";"223"
"PAIPA";"15";"516"
"PAJARITO";"15";"518"
"SANTA ROSA DE VITERBO";"15";"693"
"SANTA SOFIA";"15";"696"
"SATIVANORTE";"15";"720"
"SATIVASUR";"15";"723"
"SIACHOQUE";"15";"740"
"SOATA";"15";"753"
"SOCOTA";"15";"755"
"SOCHA";"15";"757"
"SOGAMOSO";"15";"759"
"SOMONDOCO";"15";"761"
"SORA";"15";"762"
"SOTAQUIRA";"15";"763"
"SORACA";"15";"764"
"SUSACON";"15";"774"
"SUTAMARCHAN";"15";"776"
"SUTATENZA";"15";"778"
"TASCO";"15";"790"
"TENZA";"15";"798"
"TIBANA";"15";"804"
"TIBASOSA";"15";"806"
"TINJACA";"15";"808"
"TIPACOQUE";"15";"810"
"TOCA";"15";"814"
"TOGUI";"15";"816"
"TOPAGA";"15";"820"
"TOTA";"15";"822"
"TUNUNGUA";"15";"832"
"TURMEQUE";"15";"835"
"TUTA";"15";"837"
"TUTASA";"15";"839"
"UMBITA";"15";"842"
"VENTAQUEMADA";"15";"861"
"VIRACACHA";"15";"879"
"ZETAQUIRA";"15";"897"
"MANIZALES";"17";"001"
"AGUADAS";"17";"013"
"ANSERMA";"17";"042"
"ARANZAZU";"17";"050"
"BELALCAZAR";"17";"088"
"CHINCHINA";"17";"174"
"FILADELFIA";"17";"272"
"LA DORADA";"17";"380"
"LA MERCED";"17";"388"
"MANZANARES";"17";"433"
"MARMATO";"17";"442"
"MARQUETALIA";"17";"444"
"MARULANDA";"17";"446"
"NEIRA";"17";"486"
"PACORA";"17";"513"
"PALESTINA";"17";"524"
"PENSILVANIA";"17";"541"
"RIOSUCIO";"17";"614"
"RISARALDA";"17";"616"
"SALAMINA";"17";"653"
"SAMANA";"17";"662"
"SUPIA";"17";"777"
"VICTORIA";"17";"867"
"VILLAMARIA";"17";"873"
"VITERBO";"17";"877"
"FLORENCIA";"18";"001"
"ALBANIA";"18";"029"
"BELEN DE LOS ANDAQUIES";"18";"094"
"CARTAGENA DEL CHAIRA";"18";"150"
"CURILLO";"18";"205"
"EL DONCELLO";"18";"247"
"EL PAUJIL";"18";"256"
"LA MONTAÑITA";"18";"410"
"MILAN";"18";"460"
"MORELIA";"18";"479"
"PUERTO RICO";"18";"592"
"SAN JOSE DE FRAGUA";"18";"610"
"SAN VICENTE DEL CAGUAN";"18";"753"
"SOLANO";"18";"765"
"VALPARAISO";"18";"860"
"POPAYAN";"19";"001"
"ALMAGUER";"19";"022"
"ARGELIA";"19";"050"
"BALBOA";"19";"075"
"BOLIVAR";"19";"100"
"BUENOS AIRES";"19";"110"
"CAJIBIO";"19";"130"
"CALDONO";"19";"137"
"CALOTO";"19";"142"
"CORINTO";"19";"212"
"EL TAMBO";"19";"256"
"FLORENCIA";"19";"290"
"GUAPI";"19";"318"
"INZA";"19";"355"
"JAMBALO";"19";"364"
"LA SIERRA";"19";"392"
"LA VEGA";"19";"397"
"LOPEZ";"19";"418"
"MERCADERES";"19";"450"
"MIRANDA";"19";"455"
"MORALES";"19";"473"
"PADILLA";"19";"513"
"PAEZ  (BELALCAZAR )";"19";"517"
"PATIA  (EL BORDO)";"19";"532"
"PIENDAMO";"19";"548"
"PUERTO TEJADA";"19";"573"
"PURACE ( COCONUCO )";"19";"585"
"ROSAS";"19";"622"
"SAN SEBASTIAN";"19";"693"
"SANTANDER DE QUILICHAO";"19";"698"
"SANTA ROSA";"19";"701"
"SILVIA";"19";"743"
"SOTARA  (PAISPAMBA )";"19";"760"
"SUAREZ";"19";"780"
"TIMBIO";"19";"807"
"TIMBIQUI";"19";"809"
"TORIBIO";"19";"821"
"TOTORO";"19";"824"
"VALLEDUPAR";"20";"001"
"AGUACHICA";"20";"011"
"AGUSTIN CODAZZI";"20";"013"
"ASTREA";"20";"032"
"BECERRIL";"20";"045"
"BOSCONIA";"20";"060"
"CHIMICHAGUA";"20";"175"
"CHIRIGUANA";"20";"178"
"CURUMANI";"20";"228"
"EL COPEY";"20";"238"
"EL PASO";"20";"250"
"GAMARRA";"20";"295"
"GONZALEZ";"20";"310"
"LA GLORIA";"20";"383"
"LA JAGUA DE IBIRICO";"20";"400"
"MANAURE  (BALCÓN DEL CESAR)";"20";"443"
"PAILITAS";"20";"517"
"PELAYA";"20";"550"
"RIO DE ORO";"20";"614"
"LA PAZ";"20";"621"
"SAN ALBERTO";"20";"710"
"SAN DIEGO";"20";"750"
"SAN MARTIN";"20";"770"
"TAMALAMEQUE";"20";"787"
"MONTERIA";"23";"001"
"AYAPEL";"23";"068"
"BUENAVISTA";"23";"079"
"CANALETE";"23";"090"
"CERETE";"23";"162"
"CHIMA";"23";"168"
"CHINU";"23";"182"
"CIENAGA DE ORO";"23";"189"
"LORICA";"23";"417"
"LOS CORDOBAS";"23";"419"
"MOMIL";"23";"464"
"MONTELIBANO";"23";"466"
"MOÑITOS";"23";"500"
"PLANETA RICA";"23";"555"
"PUEBLO NUEVO";"23";"570"
"PUERTO ESCONDIDO";"23";"574"
"PUERTO LIBERTADOR";"23";"580"
"PURISIMA";"23";"586"
"SAHAGUN";"23";"660"
"SAN ANDRES SOTAVENTO";"23";"670"
"SAN ANTERO";"23";"672"
"SAN BERNARDO DEL VIENTO";"23";"675"
"FOMEQUE";"25";"279"
"FOSCA";"25";"281"
"FUNZA";"25";"286"
"FUQUENE";"25";"288"
"FUSAGASUGA";"25";"290"
"GACHALA";"25";"293"
"GACHANCIPA";"25";"295"
"GACHETA";"25";"297"
"GAMA";"25";"299"
"GIRARDOT";"25";"307"
"GRANADA";"25";"312"
"GUACHETA";"25";"317"
"GUADUAS";"25";"320"
"GUASCA";"25";"322"
"GUATAQUI";"25";"324"
"GUATAVITA";"25";"326"
"GUAYABAL DE SIQUIMA";"25";"328"
"GUAYABETAL";"25";"335"
"GUTIERREZ";"25";"339"
"JERUSALEN";"25";"368"
"JUNIN";"25";"372"
"LA CALERA";"25";"377"
"LA PALMA";"25";"394"
"LA PEÑA";"25";"398"
"LA VEGA";"25";"402"
"LENGUAZAQUE";"25";"407"
"MACHETA";"25";"426"
"MADRID";"25";"430"
"MANTA";"25";"436"
"MEDINA";"25";"438"
"MOSQUERA";"25";"473"
"NARIÑO";"25";"483"
"NEMOCON";"25";"486"
"NILO";"25";"488"
"NIMAIMA";"25";"489"
"NOCAIMA";"25";"491"
"VENECIA";"25";"506"
"PACHO";"25";"513"
"PAIME";"25";"518"
"PANDI";"25";"524"
"PARATEBUENO";"25";"530"
"PASCA";"25";"535"
"PUERTO SALGAR";"25";"572"
"PULI";"25";"580"
"QUEBRADANEGRA";"25";"592"
"QUETAME";"25";"594"
"QUIPILE";"25";"596"
"APULO";"25";"599"
"RICAURTE";"25";"612"
"S.ANTONIO TEQUENDAMA";"25";"645"
"SAN BERNARDO";"25";"649"
"SAN CAYETANO";"25";"653"
"SAN FRANCISCO";"25";"658"
"SAN JUAN DE RIO SECO";"25";"662"
"SASAIMA";"25";"718"
"SESQUILE";"25";"736"
"SIBATE";"25";"740"
"SILVANIA";"25";"743"
"SIMIJACA";"25";"745"
"SOACHA";"25";"754"
"SOPO";"25";"758"
"SUBACHOQUE";"25";"769"
"SUESCA";"25";"772"
"SUPATA";"25";"777"
"SUSA";"25";"779"
"SUTATAUSA";"25";"781"
"TABIO";"25";"785"
"TAUSA";"25";"793"
"TENA";"25";"797"
"TENJO";"25";"799"
"TIBACUY";"25";"805"
"TIBIRITA";"25";"807"
"TOCAIMA";"25";"815"
"TOCANCIPA";"25";"817"
"TOPAIPI";"25";"823"
"UBALA";"25";"839"
"UBAQUE";"25";"841"
"UBATE";"25";"843"
"UNE";"25";"845"
"UTICA";"25";"851"
"VERGARA";"25";"862"
"VIANI";"25";"867"
"VILLAGOMEZ";"25";"871"
"VILLAPINZON";"25";"873"
"VILLETA";"25";"875"
"VIOTA";"25";"878"
"YACOPI";"25";"885"
"ZIPACON";"25";"898"
"ZIPAQUIRA";"25";"899"
"QUIBDO";"27";"001"
"ACANDI";"27";"006"
"ALTO BAUDO ( PIE DE PATO )";"27";"025"
"BAGADO";"27";"073"
"BAHIA SOLANO ( MUTIS )";"27";"075"
"BAJO BAUDO ( PIZARRO )";"27";"077"
"LITORAL DE SAN JUAN (DOCORDO)";"27";"082"
"BOJAYA ( BELLAVISTA )";"27";"099"
"CANTON DEL SAN PABLO";"27";"135"
"CONDOTO";"27";"205"
"EL CARMEN";"27";"245"
"ITSMINA";"27";"361"
"JURADO";"27";"372"
"LLORO";"27";"413"
"NOVITA";"27";"491"
"NUQUI";"27";"495"
"RIOSUCIO";"27";"615"
"SAN JOSE DEL PALMAR";"27";"660"
"SIPI";"27";"745"
"TADO";"27";"787"
"UNGUIA";"27";"800"
"NEIVA";"41";"001"
"ACEVEDO";"41";"006"
"AGRADO";"41";"013"
"AIPE";"41";"016"
"ALGECIRAS";"41";"020"
"ALTAMIRA";"41";"026"
"BARAYA";"41";"078"
"CAMPOALEGRE";"41";"132"
"COLOMBIA";"41";"206"
"ELIAS";"41";"244"
"GARZON";"41";"298"
"GIGANTE";"41";"306"
"GUADALUPE";"41";"319"
"HOBO";"41";"349"
"IQUIRA";"41";"357"
"ISNOS";"41";"359"
"LA ARGENTINA";"41";"378"
"LA PLATA";"41";"396"
"NATAGA";"41";"483"
"OPORAPA";"41";"503"
"PAICOL";"41";"518"
"PALERMO";"41";"524"
"PALESTINA";"41";"530"
"PITAL";"41";"548"
"PITALITO";"41";"551"
"RIVERA";"41";"615"
"SALADOBLANCO";"41";"660"
"SAN AGUSTIN";"41";"668"
"SANTA MARIA";"41";"676"
"SUAZA";"41";"770"
"TARQUI";"41";"791"
"TESALIA";"41";"797"
"TELLO";"41";"799"
"TERUEL";"41";"801"
"TIMANA";"41";"807"
"VILLAVIEJA";"41";"872"
"YAGUARA";"41";"885"
"PALO CABILDO";"41";"900"
"RIOHACHA";"44";"001"
"BARRANCAS";"44";"078"
"DIBULLA";"44";"090"
"DISTRACCION";"44";"098"
"EL MOLINO";"44";"110"
"FONSECA";"44";"279"
"HATO NUEVO";"44";"378"
"MAICAO";"44";"430"
"PITIÑO DEL CARMEN";"44";"545"
"MANAURE";"44";"560"
"SAN JUAN DEL CESAR";"44";"650"
"URIBIA";"44";"847"
"URUMITA";"44";"855"
"VILLANUEVA";"44";"874"
"SANTA MARTA";"47";"001"
"ARACATACA";"47";"053"
"ARIGUANI ( EL DIFÍCIL )";"47";"058"
"CERRO SAN ANTONIO";"47";"161"
"CHIVOLO";"47";"170"
"CIENAGA";"47";"189"
"EL BANCO";"47";"245"
"EL PIÑON";"47";"258"
"EL RETEN";"47";"268"
"FUNDACION";"47";"288"
"GUAMAL";"47";"318"
"PEDRAZA";"47";"541"
"PIVIJAY";"47";"551"
"PLATO";"47";"555"
"PUEBLOVIEJO";"47";"570"
"REMOLINO";"47";"605"
"SALAMINA";"47";"675"
"SAN SEBASTIAN BUENAVIST";"47";"692"
"SAN ZENON";"47";"703"
"SANTA ANA";"47";"707"
"SITIONUEVO";"47";"745"
"TENERIFE";"47";"798"
"VILLAVICENCIO";"50";"001"
"ACACIAS";"50";"006"
"BARRANCA DE UPIA";"50";"110"
"CABUYARO";"50";"124"
"CASTILLA LA NUEVA";"50";"150"
"CUBARRAL";"50";"223"
"CUMARAL";"50";"226"
"EL CALVARIO";"50";"245"
"EL CASTILLO";"50";"251"
"EL DORADO";"50";"270"
"FUENTE DE ORO";"50";"287"
"GRANADA";"50";"313"
"GUAMAL";"50";"318"
"MAPIRIPAN";"50";"325"
"MESETAS";"50";"330"
"LA MACARENA";"50";"350"
"LA URIBE";"50";"370"
"LEJANIAS";"50";"400"
"PUERTO CONCORDIA";"50";"450"
"MEDELLIN";"05";"001"
"ABEJORRAL";"05";"002"
"ABRIAQUI";"05";"004"
"ALEJANDRIA";"05";"021"
"AMAGA";"05";"030"
"AMALFI";"05";"031"
"ANDES";"05";"034"
"ANGELOPOLIS";"05";"036"
"ANGOSTURA";"05";"038"
"ANORI";"05";"040"
"ANTIOQUIA";"05";"042"
"ANZA";"05";"044"
"APARTADO";"05";"045"
"ARBOLETES";"05";"051"
"ARGELIA";"05";"055"
"ARMENIA";"05";"059"
"BARBOSA";"05";"079"
"BELMIRA";"05";"086"
"BELLO";"05";"088"
"BETANIA";"05";"091"
"BETULIA";"05";"093"
"BOLIVAR";"05";"101"
"BRICEÑO";"05";"107"
"BURITICA";"05";"113"
"CACERES";"05";"120"
"CAICEDO";"05";"125"
"CALDAS";"05";"129"
"CAMPAMENTO";"05";"134"
"CAÑASGORDAS";"05";"138"
"CARACOLI";"05";"142"
"CARAMANTA";"05";"145"
"CAREPA";"05";"147"
"CARMEN DE VIBORAL";"05";"148"
"CAROLINA";"05";"150"
"CAUCASIA";"05";"154"
"CHIGORODO";"05";"172"
"CISNEROS";"05";"190"
"COCORNA";"05";"197"
"CONCEPCION";"05";"206"
"CONCORDIA";"05";"209"
"COPACABANA";"05";"212"
"DABEIBA";"05";"234"
"DON MATIAS";"05";"237"
"EBEJICO";"05";"240"
"EL BAGRE";"05";"250"
"ENTRERRIOS";"05";"264"
"ENVIGADO";"05";"266"
"FREDONIA";"05";"282"
"FRONTINO";"05";"284"
"GIRALDO";"05";"306"
"GIRARDOTA";"05";"308"
"GOMEZ PLATA";"05";"310"
"GRANADA";"05";"313"
"GUADALUPE";"05";"315"
"GUARNE";"05";"318"
"GUATAPE";"05";"321"
"HELICONIA";"05";"347"
"HISPANIA";"05";"353"
"ITAGUI";"05";"360"
"ITUANGO";"05";"361"
"JARDIN";"05";"364"
"JERICO";"05";"368"
"LA CEJA";"05";"376"
"LA ESTRELLA";"05";"380"
"LA UNION";"05";"400"
"LIBORINA";"05";"411"
"MACEO";"05";"425"
"MARINILLA";"05";"440"
"MONTEBELLO";"05";"467"
"MURINDO";"05";"475"
"MUTATA";"05";"480"
"NARIÑO";"05";"483"
"NECOCLI";"05";"490"
"NECHI";"05";"495"
"OLAYA";"05";"501"
"PEÑOL";"05";"541"
"PEQUE";"05";"543"
"PUEBLORRICO";"05";"576"
"PUERTO BERRIO";"05";"579"
"PTO NARE (LA MAGDALENA)";"05";"585"
"PUERTO TRIUNFO";"05";"591"
"REMEDIOS";"05";"604"
"RETIRO";"05";"607"
"RIONEGRO";"05";"615"
"SABANALARGA";"05";"628"
"SABANETA";"05";"631"
"SALGAR";"05";"642"
"SAN ANDRES";"05";"647"
"SAN CARLOS";"05";"649"
"SAN FRANCISCO";"05";"652"
"SAN JERONIMO";"05";"656"
"SAN JOSE DE LA MONTAÑA";"05";"658"
"SAN JUAN DE URABA";"05";"659"
"SAN LUIS";"05";"660"
"SAN PEDRO";"05";"664"
"SAN PEDRO DE URABA";"05";"665"
"SAN RAFAEL";"05";"667"
"SAN ROQUE";"05";"670"
"SAN VICENTE";"05";"674"
"SANTA BARBARA";"05";"679"
"SANTA ROSA DE OSOS";"05";"686"
"SANTO DOMINGO";"05";"690"
"SANTUARIO";"05";"697"
"SEGOVIA";"05";"736"
"SONSON";"05";"756"
"SOPETRAN";"05";"761"
"TAMESIS";"05";"789"
"TARAZA";"05";"790"
"TARSO";"05";"792"
"TITIRIBI";"05";"809"
"TOLEDO";"05";"819"
"TURBO";"05";"837"
"URAMITA";"05";"842"
"URRAO";"05";"847"
"VALDIVIA";"05";"854"
"VALPARAISO";"05";"856"
"VEGACHI";"05";"858"
"VENECIA";"05";"861"
"VIGIA DEL FUERTE";"05";"873"
"YALI";"05";"885"
"YARUMAL";"05";"887"
"YOLOMBO";"05";"890"
"YONDO";"05";"893"
"ZARAGOZA";"05";"895"
"LA PINTADA";"05";"999"
"BARRANQUILLA (DISTRITO)";"08";"001"
"BARANOA";"08";"078"
"CAMPO DE LA CRUZ";"08";"137"
"CANDELARIA";"08";"141"
"GALAPA";"08";"296"
"JUAN DE ACOSTA";"08";"372"
"LURUACO";"08";"421"
"MALAMBO";"08";"433"
"MANATI";"08";"436"
"PALMAR DE VARELA";"08";"520"
"PIOJO";"08";"549"
"POLONUEVO";"08";"558"
"PONEDERA";"08";"560"
"PUERTO COLOMBIA";"08";"573"
"REPELON";"08";"606"
"SABANAGRANDE";"08";"634"
"SABANALARGA";"08";"638"
"SANTA LUCIA";"08";"675"
"SANTO TOMAS";"08";"685"
"SOLEDAD";"08";"758"
"SUAN";"08";"770"
"TUBARA";"08";"832"
"USIACURI";"08";"849"
"PUERTO GAITAN";"50";"568"
"PUERTO LOPEZ";"50";"573"
"PUERTO LLERAS";"50";"577"
"PUERTO RICO";"50";"590"
"RESTREPO";"50";"606"
"SAN CARLOS GUAROA";"50";"680"
"SAN JUAN DE ARAMA";"50";"683"
"SAN JUANITO";"50";"686"
"SAN MARTIN";"50";"689"
"VISTA HERMOSA";"50";"711"
"PASTO";"52";"001"
"ALBAN ( SAN JOSÉ )";"52";"019"
"ALDANA";"52";"022"
"ANCUYA";"52";"036"
"ARBOLEDA ( BERRUECOS )";"52";"051"
"BARBACOAS";"52";"079"
"BELEN";"52";"083"
"BUESACO";"52";"110"
"COLON ( GÉNOVA )";"52";"203"
"CONSACA";"52";"207"
